Frameworx Application,Category,Application Identifier,Overview,Frameworx Function (contained by),Frameworx Domain (Horizontal),Maturity Level,Frameworx Status,LV1,LV2,LV3,LV4,LV5,LEVEL,PARENT,Status
Customer Problem Reporting,(2) TAM Application Type,5.8.6,Customer Problem Reporting applications provide the necessary functionality to report on the status of open/ closed customer problems.,"Generate customer problem lifecycle tracking reports
Generate customer problem operations and metrics reports",Customer Domain,4,Released,5,8,6,,,2,5.8,1
Receivables Management,(1) TAM Application Type,5.9,The purpose of this application is to automate and manage the processing of financial transactions affecting the customer's financial account. Furthermore this process is meant to match these transactions with the services/invoices delivered to this customer. This is a legal requirement in some countries e.g. as required by the Sarbanes-Oxley Act in the USA.,,Customer Domain,4,Released,5,9,,,,1,5,1
A/R Management,(2) TAM Application Type,5.9.1,Accounts Receivable (A/R) Management applications provide necessary tools to maintain the customer account receivable. This includes managing balances as well as posting of payments and other financial activities.,"Account Receivable Balance Transfering
Account Receivable Debit/Credit matching
Account Receivable Direct Debiting
Account Receivable GL posting
Accounting Event Creation
Accounts Receivable Charge Posting
Advance Payment  Acceptance
Application of Payments
Bill preparation
Deposit Management
Financial Account Management",Customer Domain,4,Released,5,9,1,,,2,5.9,1
Journalization,(2) TAM Application Type,5.9.2,Journalization applications provide the capability to analyze and translate customer financial activities into records that can then be sent to the corporate general ledger.,"Financial Code Assignment
Journal Entry Accumulation
Journal Record Creation",Customer Domain,4,Released,5,9,2,,,2,5.9,1
Financial Reporting,(2) TAM Application Type,5.9.3,Financial Reporting applications provide customer financial data to downstream systems and processes.,"Account details to BI reporting
Debt, Proof and Balance Reporting
Tax information reporting",Customer Domain,4,Released,5,9,3,,,2,5.9,1
Payment Management,(2) TAM Application Type,5.9.4,"The Payment Management application provides a link between the payment channels (e.g. Post office, Retail shops, etc) and the service provider to allow many forms of payment to be accepted in a controlled manner. Payment Management interfaces with financial institutions to verify and accept or decline financial transactions.",,Customer Domain,4,Released,5,9,4,,,2,5.9,1
Payment Interface Management,(3) TAM Application Type,5.9.4.1,OverviewPayment Interface Management - retrieves and transmits payment information with payment channel organisations (financial institutions/clearing houses) in a secure manner according to agreements.,"Payment Interface Direct debit payment support
Payment interface management
Payment Interface Refunds Transaction Support",Customer Domain,4,Released,5,9,4,1,,3,5.9.4,1
Payment Validation & Authorization,(3) TAM Application Type,5.9.4.2,Payment Validation & Authorization assures that all payments are properly validated and authorized with the appropriate financial institutions. This includes support for preauthorization of charges.,"Financial Institution Linkage
Financial Security Support
Remittance Details Access",Customer Domain,4,Released,5,9,4,2,,3,5.9.4,1
Payment Settlement,(3) TAM Application Type,5.9.4.3,Payment Settlement submits authorized transactions from the service provider to the financial institution and provides reconciliation support.,"Financial reconciliation
Financial transaction settlement",Customer Domain,4,Released,5,9,4,3,,3,5.9.4,1
"Billing Inquiry, Dispute & Adjustment Management",(1) TAM Application Type,5.10,"This is a front end application for managing billing inquiries, disputes, and adjustments. Billing inquiries are provided by Bill Calculation. Open dispute cases can be handled by Case Management system or internally. The financial activities are performed by Receivables Management.",,Customer Domain,4,Released,5,10,,,,1,5,1
Bill Inquiry,(2) TAM Application Type,5.10.1,Billing Inquiry applications provide capabilities to view a given customer’s invoice bill and supporting details in order to answer customer questions.,"Invoke bill calculation on demand
List all invoices
Query  Balance statement
Recreate all item per invoice
View exact bill image
View unbilled items
View usage summary and details",Customer Domain,4,Released,5,10,1,,,2,5.10,1
Dispute Management,(2) TAM Application Type,5.10.2,"Dispute Management applications provide necessary functionality to identify, track, and assign an appropriate disposition to contested charges.","Dispute tracking
Enter agreed-upon adjustment.
Open disputes registering
Resolve the disputed charge",Customer Domain,4,Released,5,10,2,,,2,5.10,1
Adjustments,(2) TAM Application Type,5.10.3,Adjustments applications provide appropriate functionality to create transactions that affect a customer’s account balance as a result of an assessment or dispute.,"Bill Dispute Closure
Bill Dispute Initiation
Bill Dispute Investigation
Bill Dispute notification
Customer's Account Adjustment",Customer Domain,4,Released,5,10,3,,,2,5.10,1
Bill Format / Render,(1) TAM Application Type,5.11,"Bill Format / Render formats the invoice and/or statement based on specified options, and then makes it available in appropriate media types. Example outputs can include paper, electronic, DVD, etc. See Transactional Document Production for more information.",,Customer Domain,4,Released,5,11,,,,1,5,1
Billing Account Management,(1) TAM Application Type,5.13,The purpose of Billing Account Management is to provide functionality necessary to establish and modify a customer's billing account. This includes configuration of the account as well as management of account associations.,,Customer Domain,4,Released,5,13,,,,1,5,1
Billing Account Configuration Management,(2) TAM Application Type,5.13.1,Billing Account Configuration Management provides the necessary capability to create and update billing accounts. It also provides the ability to modify billing account parameters.,"Create billing accounts
Modify billing accounts
Update specific billing account information",Customer Domain,4,Released,5,13,1,,,2,5.13,1
Billing Account Associations Management,(2) TAM Application Type,5.13.2,The Billing Account Associations Management application provides the necessary capabilities to manage billing account associations with other entities.,"Billing Account Prepaid automatic replenishment
Billing Account Price plan determination
Billing Account Reporting
Billing statement association
Charge association to billing account
Charge distribution to pay means
Shared allowances community",Customer Domain,4,Released,5,13,2,,,2,5.13,1
Collection Management,(1) TAM Application Type,5.14,"The Collections Management application provides necessary functionality to manage customer accounts where there is an outstanding balance. It allows handling of each account individually, based on customer value and financial history using configurable policies. The collection management application supports the collection lifecycle activities including: collection decision making, selection of collection policy, collection execution - automating the collection treatment flow, monitoring the collection process and collection settlement negotiation. The collection application keeps track of collection status and history. The collections treatment flow can perform a number of activities including issuance of treatment notices and collection letters.",,Customer Domain,4,Released,5,14,,,,1,5,1
Collection Policy Definition and Configuration,(2) TAM Application Type,5.14.1,Collection Policy defines a path of collection activities to be executed in escalated order. A set of rules classify customer accounts and associates them to the appropriate collection policy.,"Collection Flows Creation
Collection Rules Definition",Customer Domain,4,Released,5,14,1,,,2,5.14,1
Collection Policy Execution and Monitoring,(2) TAM Application Type,5.14.2,"Collection Policy Execution and Monitoring starts with the decision for whether to initiate a collection process for an account. Once a collection decision has been taken, the appropriate collection policy is selected. There are many events that may change the collection activities For example – customer paid, customer back out from a payment arrangement, customer status has been changed or a manual intervention in the collection process. All these require constant monitoring and process execution modifications.","Collection Action Payment agreement and promises
Collection Actions- Issue write off
Collection Actions- Outside Collection Agency Referrals
Collection Actions-Business and follow-up activities
Collection Actions-Update financial scoring:
Collection Actions - Charges
Collection Decision Engine
Collection Execution Monitoring
Collection Policy Decision and Monitoring
Collection Policy Manual Intervention
Collection Treatment
Collection Treatment Management
CSR assignment collection treatment
Debt Management Automatic Penalty charging
Debt Management Financial Scoring
Initiate dunning strategy
Manage the dunning and event process",Customer Domain,4,Released,5,14,2,,,2,5.14,1
Collection Settlement,(2) TAM Application Type,5.14.3,"The application provides the mechanism that allows the CSR to negotiate with customers and offer them acceptable plans to pay their debts. These plans might be based on multiple installments over a defined period of time, including the milestones at which the customer is re-evaluated for fulfilling the arrangement.","Collation Actions- Build payment plan
Collection Actions-Payment plan monitoring",Customer Domain,4,Released,5,14,3,,,2,5.14,1
Bill Calculation,(1) TAM Application Type,5.15,"The Bill Calculation application processes all charges against an account during bill cycles. Bill Calculation can be executed both on a cyclic basis and on demand. It performs bill invoicing, dealing with bill compilation of charges, credits, payments, adjustments, fees & taxes at various levels, such as product and/or account level that have been generated since the last run for that account. It could apply discounts. Finally, Bill Calculation Management calculates bill totals and subtotals as appropriate. The pricing plans and discounts are determined based on the agreements for the invoiced customer or account.",,Customer Domain,4,Released,5,15,,,,1,5,1
Customer Bill Charge Calculation,(2) TAM Application Type,5.15.1,"The Customer Bill Charge Calculation provides appropriate functionality to assemble items to be incorporated into a bill, applying prices or recalculating charges in the context of appropriate billing events. Customer Bill Charge Calculation also considers the results of aggregation and balance management functions in the process of calculating charges.","Aggregates charges from different sources
Calculate Bill-time Fee
Currency conversion
partial period (prorating) handling.
recalculates charges
Split Bill Distribution",Customer Domain,4,Released,5,15,1,,,2,5.15,1
Discounts Calculation,(2) TAM Application Type,5.15.2,"The Discounts Calculation provides appropriate functionality to apply discounts to charges.Discount Calculation provides appropriate functionality to apply discounts or recalculate discounts in the context of appropriate billing events. Discount Calculation also considers the results of aggregation and balance management functions (based on a certain balance, different discounts are applied) in the process of calculating discounts.",Discount Calculation,Customer Domain,4,Released,5,15,2,,,2,5.15,1
Tax Calculation,(2) TAM Application Type,5.15.3,"Tax Calculation provides the necessary functionality to calculate taxes, including surcharges and fees& where applicable. This function can occur within the Invoicing application or through the use of an external Tax module.",Calculate taxes,Customer Domain,4,Released,5,15,3,,,2,5.15,1
Commitment Tracking,(2) TAM Application Type,5.15.4,The Commitment Tracking application provides commitment governance between the customer and provider.,"Commitment Tracking Data Collection
Commitment Tracking Settlements
Commitment Tracking Terms & Conditions Evaluation",Customer Domain,4,Released,5,15,4,,,2,5.15,1
Bill Cycle Run Management,(2) TAM Application Type,5.15.5,Bill Cycle Run Management applications provide appropriate capability to control bill cycle activities.,Billing Administration,Customer Domain,4,Released,5,15,5,,,2,5.15,1
Invoice Generation,(2) TAM Application Type,5.15.7,"Invoice Generation provides the means to calculate the balance due for an invoice/bill. In addition, it assembles charges, credits, taxes, fees and adjustments that affect the balance due. Subtotals and totals are also calculated at various levels.","Invoice Balance Calculation
Invoice Charges Assembly
Invoice Detail Collection
Invoice Totals Calculation",Customer Domain,4,Released,5,15,7,,,2,5.15,1
Case Management,(1) TAM Application Type,5.17,"Case Management applications manage the end to end lifecycle of a case. Cases and Case Management could apply to any area of assurance, billing, or fulfillment, but presumably reside in the customer layer. More specifically, Case Management could apply to customer problems (service affecting or not), bill inquiries, disputes, or areas of ordering if so implemented by the service provider.

Given Case Management must manage the lifecycle of a case, there must be a means to define and configure different types of cases along with the workflow to execute the various types of cases through their respective lifecycles. There must also be the capability to analyze and correlate cases as well as report on the various cases open at any given time, and archive the cases once closed. 

Note: The presentation layer for these applications will be found elsewhere (Self Service, CSR Toolbox, etc).",,Customer Domain,4,Released,5,17,,,,1,5,1
Case Definition and Configuration,(2) TAM Application Type,5.17.1,"Case Definition and Configuration applications provide the necessary functionality to define different types of cases, along with the states for each case type and associated configurations and workflow.",Case Detention,Customer Domain,4,Released,5,17,1,,,2,5.17,1
Case Workflow,(2) TAM Application Type,5.17.2,Case Workflow applications provide general workflow and orchestration capability for the Case Management area. This capability will be used to implement the flow defined and configured via the Case Definition and Configuration application.,Case workflow orchestration capability,Customer Domain,4,Released,5,17,2,,,2,5.17,1
Case Correlation & Analysis,(2) TAM Application Type,5.17.3,Case Correlation & Analysis applications provide appropriate functionality to relate cases to other reported cases (past or present) as appropriate.,Case Correlation,Customer Domain,4,Released,5,17,3,,,2,5.17,1
Case Tracking & Management,(2) TAM Application Type,5.17.4,"The Case Tracking & Management application handles the cases based on the definition and configuration established via the Case Definition and Configuration application. The Case Tracking & Management application creates and manages case worklists and oversees the transfer (dispatch or assignment) of the case to appropriate internal applications or work groups, as well as affiliates or partners& tracks the case until closed and notifies appropriate parties or applications when the case has been closed/completed.","Case Tracking & Management  transfer Capability
Case Tracking & Management Completion Notification
Case Tracking & Management Creation Capability
Case Tracking & Management Escalation Capability
Case Tracking & Management Real time query Capability
Case Tracking & Management Sequence Capability
Case Tracking & Management Status notification
Case Tracking & Management Threshold Notification
Case Tracking & Management Update Capability",Customer Domain,4,Released,5,17,4,,,2,5.17,1
Case Reporting,(2) TAM Application Type,5.17.5,Case Reporting applications provide Case Management based reporting.,Case Reporting,Customer Domain,4,Released,5,17,5,,,2,5.17,1
Case Archival,(2) TAM Application Type,5.17.6,Case Archival Applications provide appropriate functionality to archive and cases at an appropriate time after case closure.,"Archived Cases Retrieval
Case Archiving",Customer Domain,4,Released,5,17,6,,,2,5.17,1
Customer SLA Management,(1) TAM Application Type,5.18,Customer SLA Management applications include the required functionality to assure that SLA agreements made between operators and customers are met. This includes processing measurements made elsewhere and checking the measurements and taking appropriate actions when the specified agreements are not met. Note: Customers can include partners and 3rd party providers.,,Customer Domain,4,Released,5,18,,,,1,5,1
Customer SLA Issue Reception,(2) TAM Application Type,5.18.1,Customer SLA Issue Reception applications provide the necessary functionality to receive a complaint or notice about some product or service with respect to an established customer service level agreement.,"Customer SLA issue Customer Validation
Customer SLA Issue Reception
Customer SLA Issue Service / Entitlement Validation",Customer Domain,4,Released,5,18,1,,,2,5.18,1
Customer SLA Collection,(2) TAM Application Type,5.18.2,Customer SLA Collection applications provide the necessary functionality to collect information about a given SLA issue.,Customer SLA issue information collection,Customer Domain,4,Released,5,18,2,,,2,5.18,1
Customer SLA Analysis,(2) TAM Application Type,5.18.3,Customer SLA Analysis applications provide the necessary functionality to analyze performance with respect to the established Service Level Agreement.,"Customer SLA analysis preparation
Customer SLA monitoring
Customer SLA service to contract analysis",Customer Domain,4,Released,5,18,3,,,2,5.18,1
Customer SLA Violation Management,(2) TAM Application Type,5.18.4,Customer SLA Violation Management applications provides the necessary functionality to manage SLA violations and the activities necessary to resolve the apparent degradation or violation.,"Customer SLA Violation quantification
Customer SLA violation remedy initiation
Open Customer SLA violation tracking
SLA violation notification",Customer Domain,4,Released,5,18,4,,,2,5.18,1
Customer SLA Reporting,(2) TAM Application Type,5.18.5,Customer SLA Reporting applications provide the necessary functionality to report on Customer SLA performance as well as on open SLA issues.,"Produce reports on open SLA issues
Service Level performance reporting",Customer Domain,4,Released,5,18,5,,,2,5.18,1
Charge Calculation and Balance Management,(1) TAM Application Type,5.19,The Charge Calculation and Balance Management applications are responsible for calculating customer specific charges and discounts and management of balances. These support both real-time and batch processing modes of operation.,,Customer Domain,4,Released,5,19,,,,1,5,1
Charge Calculation,(2) TAM Application Type,5.19.1,"The Charge Calculation application assigns a value (monetary or other) to an event in the context of a product and payer. Charge calculation may be as simple as direct application of a price to an event or may be complicated, involving a combination of price and other factors (measurements). The values that result from a charge calculation are not limited to monetary values – they may represent many types of units (minutes, points, tokens, etc.).
The application accepts events that are:  
• Usage events / records or 
• Events derived   from Customer and Order/Product information that indicate the need for recurring and onetime charges. 

The value that results from Charge Calculation may be used in many subsequent processes, including:
• affecting a balance (Balance Management) 
• the preparation of an invoice (Bill Calculation)
•  pay-it-now processing options.

The values that result from the calculation may be expressed as recurring charges/credits, one-time charges/credits, or usage charges/credits. 
Taxes may be calculated for the individual customer specific charges using the Tax application, otherwise taxes are calculated by the Tax application during the bill calculation process.","Accumulate events for charge calculation
Charge/Credit calculation
Proration of calculated charges/credits.
Recalculation",Customer Domain,4,Released,5,19,1,,,2,5.19,1
Balance Management,(2) TAM Application Type,5.19.2,"The Balance Management applications are responsible for activities related to the creation and maintenance of the balances of a customer and/or a subscriber. Balances may be shared (e.g. between subscribers in a hierarchy). Balance can be managed at most granule level for example at the level of subscription. These processes will be required to support both batch and real-time processing.Types of balances include:
• Monetary balances 
   o Prepaid balances 
   o Postpaid balances 
•Non-monetary balances (e.g. free minutes, WAP-only quota, tokens, etc.)","Balance expiration dates setting
Balance information to the financial systems reporting
Balance inquiry.
Balance Management- Spending-limits enforcement
Balance Managemnt Activites log
Balance Payment
Balance Replenishment
Balance thresholds actions and notifications.
Charge Calculation Balance updating
Minimum Allowable Balance Setting
Roll-over and cyclic Balance Management policies.
Splitting charges between multiple balances.
Support for multiple simultaneous sessions
Unit reservation creation",Customer Domain,4,Released,5,19,2,,,2,5.19,1
Billing Events Management,(1) TAM Application Type,5.20,"Billing Event Management encompasses Billing Event Processing and Billing Event Error Management. 
Billing Event Processing provides the functions necessary to collect events that are relevant for billing processes, relate them to the proper product offering or customer account, and direct the events to the appropriate billing sub-functions. Billing events include:
• Events that indicate the need for periodic billing of a recurring product charge(from customer orders).
• Records that indicate the need for billing of a non-recurring charge (from customer orders).
• Records produced by network elements (from usage management). Usage Management will collect and distribute the network records that will be used in the Billing processes to Billing Event Management.

Billing Event Error Management functions are a complex set of activities related to 
automating the processes of correcting errors in billing events. This often includes the capability to apply mass corrections.",,Customer Domain,4,Released,5,20,,,,1,5,1
Billing Event Processing,(2) TAM Application Type,5.20.1,"Billing Event Processing includes collection, guiding, distribution, mediation, enrichment, analysis, summarization, and correlation of billing event records. These functions are required to support both file and event based processing. 

Billing events may originate from many sources. A primary source of billing events is the Usage Management function. The Usage Management function will provide information produced by various network elements to Billing Event Processing. Events produced in the Usage Management function may be used as:
1. Measurements for calculating the charge of purchased products offerings where the price is a usage price type. The events may report measurements expressed in various units (bandwidth, duration, quantity, message vs. measured, etc.). 
2. Purchase indicators that indicates to Billing that a product offering has been “ordered” by a customer

• Other sources of billing event records are:
• Third parties
• Ordering platforms
• Other billers

Events to be rated are distributed to the appropriate rating system. Once rated, the events are returned from Rating to Billing Events Management and from there distributed to Bill Calculation. Rated events may be used by Balance Management to affect a balance.

Events that indicate a roaming activity are distributed to outside service providers.","Billing Event Processing Analysis
Billing Event Processing Collection
Billing Event Processing Correlation
Billing Event Processing Distribution
Billing Event Processing Enrichment
Billing Event Processing Guiding
Billing Event Processing Mediation
Billing Event Processing Summarization",Customer Domain,4,Released,5,20,1,,,2,5.20,1
Billing Event Error Management,(2) TAM Application Type,5.20.2,"The Billing Events Error Management function accepts events which have been identified as being non-processable. Examples could include the inability to identify the owner of the usage (customer), and inability to apply a valid rate, etc. The function provides users with these capabilities:
· The ability to categorize unbilled events
· Features to identify the error cause
· Correction capabilities (via mechanized script or manual correction) 
· Re-distribution features to send the usage to the proper destination(s)","Billing event error cause identification
Billing Event Error Correction capabilities
Billing Event Error Re-distribution
Billing Event Error Unbilled events categorization",Customer Domain,4,Released,5,20,2,,,2,5.20,1
Customer Loyalty Management,(1) TAM Application Type,5.21,"Customer Loyalty Management applications are responsible for the management of the customer loyalty programs. This includes administration of the general program, prize management including management of prize partners, as well as loyalty balance management.",,Customer Domain,4,Released,5,21,,,,1,5,1
Customer Program Management,(2) TAM Application Type,5.21.1,"Customer Loyalty Program Management is responsible for administration of the customer loyalty programs. This includes program rules and registration, management of customer loyalty profiles within the loyalty program, and all communication with the customer regarding the loyalty program.","Loyalty Communications Management
Loyalty Program Rules Administration
Loyalty Subscription Management",Customer Domain,4,Released,5,21,1,,,2,5.21,1
Customer Loyalty Prize Management,(2) TAM Application Type,5.21.2,Loyalty Prize Management maintains the prize lists and prize redemption costs in terms of loyalty program points. It also assures that the program customer has the points necessary to select the given prize.,"Loyalty Program Prize Administration
Loyalty Program Prize Selection",Customer Domain,4,Released,5,21,2,,,2,5.21,1
Customer Loyalty Balance Management,(2) TAM Application Type,5.21.3,"Loyalty Score Management calculates the customer loyalty score according the accumulation/decrease rules. Loyalty Score Management must manage accumulation of points from more than one product source into one or more balance profiles. Loyalty score could decrease due to prize purchase, point expiration, etc. Score details can be accessed via various contact channels.",Loyalty Program Score Balance Management,Customer Domain,4,Released,5,21,3,,,2,5.21,1
Customer & Network Care,(1) TAM Application Type,5.22,"The Customer and Network Care domain supports all tools, technology and services that enable a Service Provider and affiliate Care organizations to support customer inquiries and requests. The domain encompasses Billing, Assurance, Ordering and Provisioning domains related inquiries/issues. 

This domain supports voice, chat, email, postal mail, and faxes. eService is noted but is addressed in a separate domain.The domain supports all operational tools used by the customer service / work center community including desktops and associated user interfaces.  The domain also supports back-office operations as well as center management.",,Customer Domain,4,Released,5,22,,,,1,5,1
Role-Based Portal,(2) TAM Application Type,5.22.1,"The Role-Based Portal focuses on eliminating swivel chair operations, increasing the flexibility of the work distribution, driving desktop consistency and reducing cost due to functional duplication. It also promotes role and user based personalization at the agent/center/team level.The portal provides the ability to combine business functionality (portlets) into a specific role that comprises the agent’s end-to-end responsibilities.",,Customer Domain,4,Released,5,22,1,,,2,5.22,1
Operations Portal,(3) TAM Application Type,5.22.1.1,The Operations Portal encompasses Portal Infrastructure for internal / center use into which functional components are plugged. The Framework provides the “foundation” for the development of agent-facing functionality.,Support Portal Server,Customer Domain,4,Released,5,22,1,1,,3,5.22.1,1
Center Efficiency Tools,(3) TAM Application Type,5.22.1.2,"Center Efficiency Tools provides various non-portlet enabled scripts and tools for the agent to automate specific tasks.This function can also include terminal and system emulators (Citrix, Attachmate, etc).",Support Portal Tools Server,Customer Domain,4,Released,5,22,1,2,,3,5.22.1,1
Center Administration,(2) TAM Application Type,5.22.2,"Center Administration provides care-center administrators tools that enable them to efficiently manage center operations. Operations would include center productivity, performance metrics collection, training as well as force and skill assignment.",,Customer Domain,4,Released,5,22,2,,,2,5.22,1
Center Productivity Management,(3) TAM Application Type,5.22.2.1,"Center Productivity Management collects metrics, productivity and resource data across all channels as well as desktop events for management reporting.",,Customer Domain,4,Released,5,22,2,1,,3,5.22.2,1
Center Activity Management,(4) TAM Application Type,5.22.2.1.1,"Center Activity Management includes the necessary functionality to track activities performed within a work center. These activities range from orders placed, sales closed, problems resolved, ticket closed, etc. Most work centers incorporate a detailed activity tracking mechanism with associated reporting for individual agent performance and is typically rolled up to support center-level performance as well.",Center Activity Management,Customer Domain,4,Released,5,22,2,1,1,4,5.22.2.1,1
Center Time Management,(4) TAM Application Type,5.22.2.1.2,"Center Time Management supports all of the time management of a service provider Agent/CSR/LCM etc....including tracking of hours worked, hours spent in training and other activities. It includes all time attributes used in the scheduling of resources to meet center SLAs. This function would also track time associated with a specific activity whether it be a short (single contact) or long running, multiple contact and team related activity. This aspect of time may span center resources.",Center Time Management,Customer Domain,4,Released,5,22,2,1,2,4,5.22.2.1,1
Center Budget Management,(4) TAM Application Type,5.22.2.1.3,"Center Budget Management includes the tracking of all center expenses including operating expenses as well as project expenses. This function is is primarily used for managing project budgets where a project can have long durations, multiple parallel or sequential activities and may involve work by multiple support resources.",Center Budget Management,Customer Domain,4,Released,5,22,2,1,3,4,5.22.2.1,1
Center Quality Management,(4) TAM Application Type,5.22.2.1.4,"Center Quality Management supports the tracking of all quality components of a support (ordering, outage, provisioning, etc) project for completeness, accuracy, and customer satisfaction.",Center Quality Management,Customer Domain,4,Released,5,22,2,1,4,4,5.22.2.1,1
Center Compliance & Training,(3) TAM Application Type,5.22.2.2,"Center Compliance & Training manages compliance with customer service / work-center methods and procedures (M&Ps) & facilitates work center training, including integration to workforce scheduling and tracking.","Care-center compliance management
Care-center work center training",Customer Domain,4,Released,5,22,2,2,,3,5.22.2,1
Center Force & Queue Management,(3) TAM Application Type,5.22.2.3,"Center Force & Work QueueManagement administers work center workforce and associated skills-based work assignments. It addresses scheduling, work distribution/assignment and planning for current and forecasted center work-loads.Center Force & Work Queue Management also addresses work queuing and work assignment received from various channels including incoming calls, email, and back-office/front-office work distribution and queuing. Work Queuing can be on-line (active customer contact) or off line (no customer ""on the line"").","Care-center work queuing
Care-center workforce administration",Customer Domain,4,Released,5,22,2,3,,3,5.22.2,1
Contact Channel Management,(2) TAM Application Type,5.22.3,"Contact Channel Management encompasses the means by which customers of a given service provider contactService Providersas well as how service provider agents communicate internally. It also includes the means to transfer the communication from one channel to another. Contact Channel Management addresses the routing, queuing and assignment of new active customer requiests based on center utilization and available agents with the appropriate Skill assignment.",,Customer Domain,4,Released,5,22,3,,,2,5.22,1
Customer/Internal Collaboration/Chat,(3) TAM Application Type,5.22.3.1,"Customer/Internal Collaboration/Chat supports the tools and integration of Customer or internal collaboration/chat between customer/agent, agent/agent, and agent/support group.","Collaboration Blog
Collaboration Calendar
Collaboration Document Repository
Customer/Internal Collaboration/Chat Contact Channel",Customer Domain,4,Released,5,22,3,1,,3,5.22.3,1
Voice Channel Contact,(3) TAM Application Type,5.22.3.2,"Voice Channel Contact applications provides the means for a customer to speak to a service representative, including the mechanism to query the customer (e.g. – IVR) on the nature of their request, and routing of the contact to the best available agent and presentation to the agent of select call information.","Voice Channel Contact
Voice Channel Contact Routing",Customer Domain,4,Released,5,22,3,2,,3,5.22.3,1
Off-Line Contact Channel Management,(3) TAM Application Type,5.22.3.3,"Off-Line Contact Channel Management provides the means to capture and manage activities that cannot or were not completed via an online channel contact. It also provides the means to place an activity on the “off line” queue that originated from an off-line channel such as email, postal mail, fax, etc.Note: An activity can be completed on a different channel from which the request originated.","Contact Channel Work Assignment
Contact Queuing
Off-Line Contact Channel Management",Customer Domain,4,Released,5,22,3,3,,3,5.22.3,1
Channel Infrastructure,(3) TAM Application Type,5.22.3.4,"Channel Infrastructure represents the cross-channel components that drive consistency and analytics of the customer experience. Channel infrastructure would manage common contact event information such as transaction state, statistics, history, etc.",Channel Infrastructure,Customer Domain,4,Released,5,22,3,4,,3,5.22.3,1
Privacy Dashboard,(1) TAM Application Type,5.23,"The Privacy Manager application is used to manage all aspects of the privacy of Data Subjects(End users), from the creation of Privacy Profile Types, their management, to the display of Privacy Profiles and provide functionalities for their modification and evolution. The Privacy Manager provides features depending on authorization and consequently roles of users :
-Administrators : the administrators are in charge of the definition of the Privacy policy and consequently the creation of the Privacy Profile Type, the maintenance, evolution, depending on the ability of underlying components that handles Personally Identifiable Information (PII). 
-Customer support : the customer support is in charge of the performing some operation on Privacy Profile on behalf of end-user.
-End-user (Data Subject Party) : the end-user is able to view its Privacy Profile, the value of Privacy Profile attributes, and manage it.",,Customer Domain,4,Released,5,23,,,,1,5,1
Privacy Profile Type Creation,(2) TAM Application Type,5.23.1,"Privacy Profile Type Creation (Administrators) : 
feature used to create the Privacy Profile Type and the associated Privacy Profile, including definition of elements from SID where privacy applies, the default and possible values for the rules of each element.","Configure the Privacy Rules Values
Create the Privacy Profile Type",Customer Domain,4,Released,5,23,1,,,2,5.23,1
Privacy Data Exposure,(2) TAM Application Type,5.23.2,"Privacy Data Exposure (End-user): feature used to provide Data Subject Party the ability to  view the current privacy profile attributes for Parties: data concerned by the Privacy Profile, associated default values of rules defined, current values of rules. The dashboard also provides possibility for Party to alter this Privacy Profile, based on authorized values. It gives the end-user a 360° view of the usage authorized or possible of its PII","Privacy Data Party- Self-Service Updating
Privacy Data Party-Self-Service Browsing",Customer Domain,4,Released,5,23,2,,,2,5.23,1
Privacy Consent,(2) TAM Application Type,5.23.3,"Privacy Consent (End-user): feature used to obtain consent from the Data Subject at the time of an evolution of the Privacy Profile. This can be initiated by the Data Subject when s/he wants to create a new usage of its PII, or by the Service when requiring an evolution of the Privacy Profile to deliver a new scenario.",Privacy Consent Agreement,Customer Domain,4,Released,5,23,3,,,2,5.23,1
Service Catalog Management,(1) TAM Application Type,6.1,"Service Catalog Management is a realization of the Cross domain Catalog Management application in the Service Domain. The applications are repositories of service listing within a service provider and include the ability to design, create, augment and map new entities and supporting data. The type of catalog management application is an implementation choice of the enterprise. See: Cross Domain- Catalog Management for more information.",New Service Introduction and Maintenance,Service Domain,4,Released,6,1,,,,1,6,1
Service Inventory Management,(1) TAM Application Type,6.2,"Service Inventory Management represents the applications which contain and maintain information about the instances of services in a telecom organization.
A Service Inventory application may store and manage any or all of the following entities:
• Customer facing service (CFS) instances, and their attributes
• Resource facing service (RFS) instances, and their attributes
The Service Inventory may also store and manage service relationships:
• The mapping of services (RFSes or CFSes) to other services and/or service components, the components being either:
• Other child services
• Resources and the resource domain managers used to implement the service, or 
• Services and resources in Supplier/Partner systems used to implement the service 
This mapping is stored either intrinsically in the core Service Inventory, or discretely via Service-Supporting Resource Inventory applications.
Service Inventory may include the following relationship types between entity instances:
•         Realization by Composition – A mapping from a service to the child services and/or resources which specifically compose that service (e.g. the RFS instance or instances whose whole purpose is to implement a CFS, the assignable resources which realize an RFS). If a parent service is torn down, child objects with a Composition relationship are typically removed or reallocated (e.g. transitioned to spares inventory).
•         Realization by Aggregation – A mapping from a service to the services and/or resources which support this service in addition to other services. (e.g. a network access RFS which supports a number of different network CFSes). If a parent service is torn down, child objects with an Aggregation relationship are typically maintained as long as at least one other parent service still exists.
•         Dependency – A link between services and/or resources which is not strong enough to qualify as Composition or Aggregation, but where various Fulfillment, Assurance, and Change Management processes need to be aware of the relationship. Dependency relationships support the ability for change management processes to evaluate if a dependent service or resource may be impacted by changes to a specific service or resource.",,Service Domain,4,Released,6,2,,,,1,6,1
