Frameworx Function,Description,Function Identifier,Frameworx Application (containing),Vertical Group,Frameworx Domain,Issue
Customer Loyalty Prize Differentiation Management,Customer Loyalty Prize Differentiation Management function configures and maintains the prizes and holds description of their characteristics. Allows for prize differentiation policies on geographical criteria.,199,Customer Loyalty Prize Management,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Loyalty Prize Selection,Customer Loyalty Prize Selection function lists available prizes and assures that the program customer has the points necessary to select the given prize.,200,Customer Loyalty Prize Management,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Loyalty Rules Management,Customer Loyalty Rules Management  provides Loyalty Program Rules and customer loyalty profiles management,238,Customer Program Management,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Loyalty Score Balance Management,"Customer Loyalty Score Balance Management function calculates the score according to accumulation/decrease rules. When a customer subscribes to the loyalty program with more than one SIM or other ‘traffic objects’, the Score Management accumulates the points into a single balance. The loyalty score could decrease for one of the following events: prize purchase, points expiry or points deletion by Call Centre. The functionality may also include the visualization of Score details (date, description event type, points, final score) via different contact Channels (e.g. via Web, IVR, Call Centre).",198,Customer Loyalty Balance Management,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Loyalty Subscription Management,"Customer Loyalty Subscription Management function manages subscription and deactivations to a Loyalty programs. Subscription management  includes 
- checking customer requirements 
- assigning one or more subgroups to which the customer belongs
- assigning welcome points & send welcome messages 
- generate the unique Loyalty-identifier 

Loyalty Subscription Management can assign multiple traffic channels to loyalty subscriptions (sim-cards, PBX, Call Data Network etc.)",236,Customer Program Management,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Observations Inference Analyzing,"Customer Observations Inference Analyzing provides observation rules inferencing type of analysis. (Processing of the ingested events/data to interpret new updates (transactions, unbilled charges, self service activity) into customer context)",94,Customer Context Map Building,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Customer Order Activity Supervision,"Customer Order Activity Supervision governs the control of the order amongst the ordering channels. This allows keeping the order data consistency, sharing the order data among order application channels and alternating the control between them.",211,Customer Order Lifecycle Management,Fulfillment,Customer Domain,Application Framework 21.0 Modification
Customer Order Administration,"Customer Order Administration provide to view all outstanding orders, progress and history displays",178,CSR fulfillment,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Order Cancelation,Customer Order Cancelation can optionally support Cancel for order completed by Service Order Management (this capability is dependent on the Service Order Management system’s ability to roll back service provisioning).,209,Customer Order Lifecycle Management,Fulfillment,Customer Domain,Application Framework 21.0 Modification
Customer Order Capturing Access,Customer Order Capturing Access provides front end support for the Customer Order Capturing functions defined by the order management.,176,CSR fulfillment,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Order Capturing,"Customer Order Capturing  provides access to Order capture and negotiation capabilities or receives the captured Customer Order data from channels. Takes care of persistence using Customer Order Lifecycle Management. Including  support of contract printing, integration with a locally installed cash management/cash register and a retail inventory system for order completion and ordered product versioning.",120,"Channel Guidance and Data Capture
Retail Outlets
Virtual Network Operators (Dealers)",Fulfillment,Customer Domain,Application Framework 21.0 Modification
Customer Order Change Management,Customer Order Change Management amend pending order resulted from customer change requests or provisioning system limitation and revalidate the order.,208,Customer Order Lifecycle Management,Fulfillment,Customer Domain,Application Framework 21.0 Modification
Customer Order Completion,"Customer Order Completion; The Customer Order Completion function enables completion and finalization the Customer Order with collection of Customer Data or installed base data according to the Catalog. It allows to complete the configuration element not necessary for the quotation. The complements could also concern links with actors, dates, adress, billing account.",204,Customer Order Establishment,Fulfillment,Customer Domain,
Customer Order Distribution,"Customer Order Distribution function decomposes each relevant Product Order Item of the Customer Order, into Service Orders (CFS level) and distributes the Service Order requests to appropriate systems. For example : Service Order Management (SOM), potential 3rd parties, ...
This decomposition relies on :
- the articulation between Products and CFS described in the Catalogue Repository
- the articulation between Product Operations and CFS Operations described in the Catalogue Repository
- existing installed CFS
- the potential rules of choice if several CFS can fit in with the product.",202,Customer Operational Decisioning,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Customer Order Eligibility Validation,"Customer Order Eligibility Validation function validates that the Offer & products specified on the Customer Order, are eligible from a commercial and functional point of view.
It includes: 
• Commercial Eligibility with commercial compatibility with the already customer installed Offers 
• Functional Eligibility with the customer's already r installed Products.  
• Customer Credit Eligibility check, considering the payment history and the credit scores for a Customer, only the predictive credit score for a Prospective Customer. ”
The technical feasibility is covered by the Service Availability function.",205,Customer Order Establishment,Fulfillment,Customer Domain,Application Framework 21.0 Modification
Customer Order Error Resolution Support,"Customer Order Error Resolution Support provides to view pool of orders resulted in error or stuck orders and enable the Customer Support to act accordingly (e.g. resend the request, notify the user with recommended action)",174,CSR fulfillment,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Order Establishment Tracking,Customer Order Establishment Tracking provides the functionality necessary to track and manage the distributed requests decomposed by Customer Order Distribution. This capability needs to be provided in both an ability to query in real time as well as a publish/subscribe mechanism to enable the use of the information wherever required.,217,Customer Order Tracking & Management,Fulfillment,Customer Domain,"Application Framework 21.0 Modification
Rename to Customer Order Tracking &lifecycle Management"
Customer Order Item Decomposition,"Customer Order Item Decomposition prepares the customer order structure for breakdown into customer order items.
It includes the breakdown into customer order items.",723,Customer Order Item Decomposition,Fulfillment,Customer Domain,Application Framework 21.0 Modification
Customer Order Management,"Customer Order Management provides an online access function to specific orders, to be used for management, monitoring and tracking for customer support and external agents for Upgrade of customer’s products/services.",366,"CSR fulfillment
Dealers",Fulfillment,Market Sales Domain,Application Framework 21.0 Modification
Customer Order Orchestration,"The Customer Order Orchestration function provides workflow and orchestration capabilities at the Product Order Item level for a dedicated Customer Order. 
Orchestration can take into account :
- constraints between Product Order Items inside the Customer Order, or successive Customer Orders including modification or cancellation (in-flight changes)
- any type of business rules based on information even external to the Customer Order. For example : high level of priority for VIP customers
-  Triggering of exception process or delivery planning update, depending on Customer Order or Service Order events.",214,"Customer Order Orchestration
Customer Order Orchestration Plan Creation",Fulfillment,Customer Domain,Application Framework 21.0 Modification
Customer Order Reporting,"Customer Order Reporting function provides front end support for Business, Financial and Operational reporting and analyzing of the ordering activities.",172,CSR fulfillment,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,"Application Framework 21.0 Modification
Rename to CSR Customer Orders Reproting"
Customer Order Rules Configuration,"Customer Order Rules Configuration function provides in addition to the Product rules, rules like cross/up sell rules, compatibility rules, eligibility rules, address/service availability rules, etc. Some specific types of rules must be available for all decision-based actions on customer order. These rules could be: customer fraud check, decomposition rules, priority rules, order duplication prevention rules, complex rules involving multi-system checks, etc.",721,Customer Order Rules Management,Fulfillment,Customer Domain,Application Framework 21.0 Modification
Customer Order Storage,Customer Order Storage; The Customer Order Storage function stores the valid and complete customer orders into an appropriate data storage.,719,Customer Order Acceptance,Fulfillment,Customer Domain,
Customer Order Take-over Management,Customer Order Take-over Management provides an ability to take over governance of orders handled by other channels (e.g. self service) amend and relinquish while preserving all the captured data.,177,CSR fulfillment,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Order Validation,"Customer Order Validation Function ensures that the qualified order is valid in any moment of order lifecycle, usually as data become available. Validation ensures early fallout which is less costly than encountering errors in later stages of order handling.",718,"Customer Order Establishment
Customer Order Validation",Fulfillment,Customer Domain,
Customer Order Versioning,Customer Order Versioning maintains order versioning including Tracking & Logging of the changes made to a purchased product.,212,Customer Order Lifecycle Management,Fulfillment,Customer Domain,Application Framework 21.0 Modification
Customer Order Work Item Decomposition,Customer Order Work Item Decomposition decomposes customer order items into a set of customer order work items.,724,Customer Order Work Item Decomposition,Fulfillment,Customer Domain,
Customer Ordering External Access,"Customer Ordering External Access for  trusted partner self empowered fulfillment function. It provides an internet technology driven interface for a Customer Information View, including full customer details, recent interactions, pending activities, history and a complete order capture, negotiation and activation capabilities.",265,"Customer Self Empowered Fulfillment
Telesales","Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Penalties Viewing,Customer Penalties Viewing provide an internet technology driven interface to view the  customer penalties directly for themselves.,252,Customer Self Empowered Billing,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Preferences Administration,"Customer Preferences Administration administrates customer proprietary information preferences (CPNI), email versus US Mail, how to be contacted (based on type of communication), web look and feel, do not solicit me. Personalization allows delivery of services that more closely match the customer's need.",226,Customer Profile Management,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Customer Probable Behavior Determining,Customer Probable Behavior Determining provides determination of customer behavior e.g. likelihood to call based on many observations (ex. dispute a bill vs. pay the bill),95,Customer Context Map Building,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Customer Problem Performance and Quality Data Diagnostics,"Customer Problem Performance and Quality Data Diagnostics provides determination of the source (root cause) of the problem and Update the case with a “Cause Code”, by Utilizing service performance and service problem management functions and/or by receiving quality of service violation data from Service Quality Management",1060,Customer Problem Diagnostics,Assurance,Customer Domain,
Customer Problem Receiving,"Customer Problem Receiving provides reception of problems from Customers, Southbound internal systems (service problem management, service performance management, service quality management) or Outside northbound systems, including social networks/third parties.",221,Customer Problem Qualification & Reception,Assurance,Customer Domain,Application Framework 21.0 Modification
Customer Problem Resolution Support,"Customer Problem Resolution Support supports Problem resolution with the following data to resolve the customer problem: 
o Customer Topology and inventory type data (e.g., logical and physical inventory) 
o Customer Information including the business organizational hierarchy 
o Change Management data 
o Customer Service Order data",219,Customer Problem Diagnostics,Assurance,Customer Domain,Application Framework 21.0 Modification
Customer Problem Status On-Request Reporting,"Customer Problem Status On-Request Reporting function provide the necessary functionality to report on the status of open/ closed customer problems.  Customer problems can include: 
• General questions on products purchased and being used by the customer 
• Problems with products already purchased and being used by the customer either due to lack of education or service/network problems. 
• Problems with a material purchase from the service provider, even if they do not have an account with the said service provider. 
• General inquiries, complaints, and commendations.",224,Customer Problem Reporting,Assurance,Customer Domain,Application Framework 21.0 Modification
Customer Problem Validation,"Customer Problem Validation provides problem validation and prioritization doing: 
o Qualify Symptoms/Reason for call (when reception is via a customer contact).  Non-qualified issues will be referred appropriately.  
o Associate received problem with appropriate customer(s)  and customer products/services (when reception is via a southbound or northbound system)",220,Customer Problem Qualification & Reception,Assurance,Customer Domain,Application Framework 21.0 Modification
Customer Product Checking,"Customer Product Checking checks what the customer presently has as part of what can be further provided to the customer including bundling, product proposals, etc.",320,Offering Availability,Fulfillment,Customer Domain,Application Framework 21.0 Modification
Customer Product Storage,Customer Product Storage provides the functionality necessary to store and make available the products / services presently being used by the customer.,197,Customer Subscription Management,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Customer Profile Retrieval,Customer Profile Retrieval provides Customer Profile Information to any process that needs access to it,227,Customer Profile Management,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Customer Profile Signature Creation,"Customer Profile Signature Creation function creates a personalized profile signature based on combined segment, interest and behavior for the individual “customer”  (ex. Soccer Mom, Gold/Silver/Bronze customer, Golfer, Early adopter), and around “content” (ex. Content sharing - College kids + Field Sales). This also includes continuous learning and update of individual ‘Profile Signature’",234,Customer Profiling,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Customer Profile Updating,"Customer Profile Updating function concerns the management of our knowledge of the individual customer to keep or produce an up-to-date, accurate and legally compliant Customer information. 
It will incorporate into the customer profile, all relevant information gathered through all contacts with the customer",91,Customer Context Map Building,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Customer Profiling Exposure,"Customer Profiling Exposure expose customer profiles and profiling insights and conclusions for recommendation in care treatment, x/up sell, retention, etc.",235,Customer Profiling,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Customer Registration,Customer Registration registers a new customer if this is a new customer (using Customer Information Management).,121,Channel Guidance and Data Capture,Fulfillment,Customer Domain,Application Framework 21.0 Modification
Customer Relation Map Exposure,Customer Relation Map Exposure maps the customer relation/context to systems such as call center or self-service touch,92,Customer Context Map Building,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Customer Relationship/Context Event Data Accumulation,"Customer Relationship/Context Event Data Accumulation provides an ability to accumulate and map customer interaction event data from all channels (agent interaction/notes, web/device click analytics, retail transactions, etc.), including received information from Customer Interaction Collection & Storage",191,Customer Experience Monitoring,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Customer Service Access,"Customer Service Access to functions to provide fully automated service or assisted service over customers touch points. The functions enables customers to assure the service level that they benefit from their service provider for functions like: 
• User Account management - Account management (such as contact attributes) 
• Self registration to online services 
• Service requests management: 
• Service request submission 
• Service request amendment 
• Service request closure 
• Alerts and notifications setting 
• Address book management 
• Access to Knowledge Management database & solutions to common problems 
• Service Requests and SLA Reporting - Reports on service requests and SLA across services",244,Customer Self Empowered Assurance,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer SLA Analysis Preparation,Customer SLA Analysis Preparation provides translating of  performance and commitment data received into a form suitable for SLA analysis.,288,Customer SLA Analysis,Assurance,Customer Domain,Application Framework 21.0 Modification
Customer SLA Issue Customer Validation,Customer SLA Issue Customer Validation receives SLA issues to validate an established customer with service level agreement.,291,Customer SLA Issue Reception,Assurance,Customer Domain,Application Framework 21.0 Modification
Customer SLA Issue Information Collection,"Customer SLA Issue Information Collection collects additional customer SLA related information from established sources, including service quality management, service performance management, service problem management, third parties, and customers, related to a SLA issue.",290,Customer SLA Collection,Assurance,Customer Domain,Application Framework 21.0 Modification
Customer SLA Issue Receiving,"Customer SLA Issue Receiving receives SLA issues of problems from: 
o Customers or customer systems 
o Internal systems (SQM, Service Problem Management, Service Performance Management, and Customer Problem Management as well as billing or fulfillment systems)",292,Customer SLA Issue Reception,Assurance,Customer Domain,Application Framework 21.0 Modification
Customer SLA Issue Service / Entitlement Validation,Customer SLA Issue Service / Entitlement Validation; Customer SLA Issue Reception function to validate the service entitlement tothe service level agreement.,293,Customer SLA Issue Reception,Assurance,Customer Domain,
Customer SLA Monitoring,Customer SLA Monitoring monitors “pending” SLA violations before they occur (“Jeopardy”) by measuring current performance/commitment activity compared to SLA thresholds,289,Customer SLA Analysis,Assurance,Customer Domain,Application Framework 21.0 Modification
Customer SLA Preferences Capturing,Customer SLA Preferences Capturing captures the customer's SLA preferences  e.g. as part of the fulfillment.,278,Customer Self Empowered Fulfillment,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer SLA Service to Contract Analyzing,Customer SLA Service to Contract Analyzing provides analyzing of the level of service received by the customer and comparing it to the contractual obligations.  This can include analysis of historical SLA information as well.,287,Customer SLA Analysis,Assurance,Customer Domain,Application Framework 21.0 Modification
Customer SLA Violation Quantification,"Customer SLA Violation Quantification function to quantify the violation in  terms of an adjustments or actions per the contract. (Per the SLA contract, )",298,Customer SLA Violation Management,Assurance,Customer Domain,Application Framework 21.0 Modification
Customer SLA Violation Remedy Initiation,Customer SLA Violation Remedy Initiation function to provide the necessary functionality to pass  adjustment or action on to billing or appropriate systems for remedy,297,Customer SLA Violation Management,Assurance,Customer Domain,Application Framework 21.0 Modification
Customer SLA Violation Tracking,Customer SLA Violation Tracking function to track and manage open Customer SLA  issues.,299,Customer SLA Violation Management,Assurance,Customer Domain,Application Framework 21.0 Modification
Customer Support Back-office Integration,"Customer Support Back-office Integration provides embedded desktop controls with APIs or service calls to other systems as a means to process activities such as invoice generation, device activation, and other back-office activities.",283,Customer Service Representative Toolbox,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Support Bill and Dispute Access,Customer Support Bill and Dispute Access provides front end functionality for the CSR in their day to day billing related activities.,170,"Billing Inquiry Dispute & Adjustment Management
CSR Billing","Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,"Application Framework 17.5 Modification
Application Framework 21.0 Modification"
Customer Support Case Management,Customer Support Case Management function for front end support for the function flows defined by the case management functions (cf. Case Management Applications).,169,CSR assurance,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Support Collaboration Access,Customer Support Collaboration Access provides the means for customer to agent or agent to support online chatting.,165,Customer/Internal Collaboration/Chat,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Customer Support Conversational Guiding,Customer Support Conversational Guiding displays recommended text and scripting to guide agents in specific conversations/dialogue tailored to each customer interaction. Also provides branching based on customer answers.,280,"Customer Service Representative Toolbox
Telesales","Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Support Guiding,"Customer Support Guiding is complementary to in-context, configurable navigation, it intelligently guides the Customer Support through the interaction. The guidance can span any subject—cross-sell, up-sell, retention, service and support, quality or training",281,Customer Service Representative Toolbox,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Support Information Distribution,Customer Support Information Distribution updates information automatically in all other systems (if there is a need to overcome data duplication) after centralized data entry.,279,Customer Service Representative Toolbox,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Support Invoice Payment,Customer Support Invoice Payment function is to accept customer payment via the customer service representative (CSR) for immediate Payment of Invoices using existing or new pay means.,936,Payment,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Support Jeopardy Notification,Customer Support Jeopardy Notification provide to view jeopardy notifications queue and enable the Customer Support to act accordingly (e.g. notify customer on due date delay),175,CSR fulfillment,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Support Payment Management,Customer Support Payment Management function provides front end functionality for the CSR in their day to day payment support related activities.,171,CSR Billing,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Support Prepaid Recharge Payment,Customer Support Prepaid Recharge Payment function is to accept customer payment via the customer service representative (CSR) for Prepaid recharge using vouchers or other pay means,937,Payment,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Support Workflow Guiding,"Customer Support Workflow Guiding provides a configurable, workflow-driven navigation – Through means such as configurable business processes, automatically drives the CSR workflow and screen navigation according to the context of the customer interaction and other customer profile information across all functions used.",284,Customer Service Representative Toolbox,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Treatment Decision Automation,"Customer Treatment Decision Automation provides the functionality to drive decisions regarding Customer treatment and action for each specific situation based on observing what the customer is immediately experiencing. This action can be taken either proactively by reaching out to the customer, or reactively when the customer contacts the Service Provider.",201,Customer Operational Decisioning,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Customer Usage and Charges Report  Access,Customer Usage and Charges Report  Access provide an internet technology driven interface to the customer to access web based reports for (historical) usage and charges directly for themselves.,253,Customer Self Empowered Billing,"Assurance
Billing & Revenue Management
Fulfillment",Customer Domain,Application Framework 21.0 Modification
Customer Value Profiling Prediction,"Customer Value Profiling Prediction function comprises predictive Scoring of the new customer behavior: using a predictive model based on the histories of customers having the similar profile, determine the expected evolution of the customer value and his lifetime. Customer scoring is performed when customers sign up a contract, then enriched and updated by events occurring during the customer lifecycle (e.g revenue generated, usage patterns, payment behavior…). The output of customer scoring could be a risk level or an opportunity.",231,Customer Profiling,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Customer Value Profiling Segmentation,"Customer Value Profiling Segmentation function comprises segmentation based on the customer value and/or lifetime value: Regrouping of the customers in relevant sets (even subsets) for Marketing. The segmentation criteria use the customer value, the customer lifetime value, the product and service uses (consumption behaviors).",232,Customer Profiling,Readiness & Operations Support,Customer Domain,Application Framework 21.0 Modification
Customer Value Profiling,"Customer Value Profiling; The Customer Value Profiling function comprises measure and follow up of the customer value: Development of a model in order to determine the customer value from its uses (traffic, products and services used…), and corresponding revenues and costs.
The follow-up of the customer value evolution (identification of the evolution tendencies of the value and actions concerning the creation or destruction of value, Average Revenue Per User,  margin per user).",230,Customer Profiling,Readiness & Operations Support,Customer Domain,
Customer/Prospect Data Acquisition,"Customer/Prospect Data Acquisition obtains all necessary information to make a sale. The prospect could be a new or current customer. Customer/Prospect Data Acquisition includes information about the service location, billing address, demographic information about the customer, any existing products and services the customer currently has, as well as the customer's needs (requirements).",364,Customer/Prospect Data Acquisition,Readiness & Operations Support,Market Sales Domain,
Damage Claim Administration,Damage Claim Administration supports the responsible organization with the correction and follow-up.,888,Damage Claims Management,,Enterprise Domain,Application Framework 21.0 Modification
Damage Claim Consequences Analyzing,Damage Claim Consequences Analyzing provides damage claim loss calculation and analyzing support for the calculation and analyzing of possible consequences of the Damage Claim.,889,Damage Claims Management,,Enterprise Domain,Application Framework 21.0 Modification
Damage Claim Filing,Damage Claim Filing captures the claim and the known circumstances and implications.,887,Damage Claims Management,,Enterprise Domain,
Damage Claim to Accounting Integration,Damage Claim to Accounting Integration supports the possible cost handling in connection to a Damage Claim.,890,Damage Claims Management,,Enterprise Domain,
Data Architecture Management,Data Architecture Management; The BI framework function for Developing and maintaining data architectures.,909,BI Data Management(Deleted),,Enterprise Domain,
Data Compliance and Policy Configuration,"Data Compliance and Policy Configuration: Configuration function to define Data Compliance and Policy Rules and guidelines for e.g. authorization groups, data types etc. Configuration changes are logged for auditing",1019,Data Compliance and Policy Management,,Enterprise Domain,
Data Compliance and Policy Distribution,"Data Compliance and Policy Distribution provides distribution of compliance and policy rules and guidelines to Data Management functions on request, at change or periodically.",1020,Data Compliance and Policy Management,,Enterprise Domain,Application Framework 21.0 Modification
Data Distribution Configuration,Data Distribution Configuration: Configuration of subscription and formatting for the Data Access and Data Distribution function.,1018,Data Distribution Management,,Enterprise Domain,
Data Distribution,"Data Distribution: Distribution function that push data according to configured subscriptions of data in requested formats, etc.",1017,"CM Distribution & Acquisition(Deleted)
Data Distribution Management
DM Data Presentation & Distribution(Deleted)",,Enterprise Domain,
Data Entity Access,Data Entity Access provides reading and updating data including transformation and formatting from/to Data Store formats. The activities are logged according to the compliance and policies.,1014,"Data Storage and Archival
DM Data Presentation & Distribution (Deleted)",,Enterprise Domain,Application Framework 21.0 Modification
Data Entity Archiving,"Data Entity Archiving archives data or data entities on demand or automatically or periodically according to configured archival scheduling. The archival activities are logged according to the compliance and policies, e.g. encryption rules etc.",1015,"Data Storage and Archival
DM Data Storage & Archival(Deleted)",,Enterprise Domain,Application Framework 21.0 Modification
Data Entity Lifecycle Management,Data Entity Lifecycle Management function create and manage data entities lifecycle in accordance to compliance and policy guidelines. The activities are logged according to the compliance and policies for the specific data types.,1013,Data Storage and Archival,,Enterprise Domain,Application Framework 21.0 Modification
Data Formatting,Data Formatting: Data Formatting function that reformats data according to pre-configured formatting algorithms.,1023,"Data Transformation and Formatting
DM Data Integration & Context(Deleted)",,Enterprise Domain,
Data Management Data Storage,Data Management Data Storage; The Data Management framework function for Data Storage,911,DM Data Storage & Archival(Deleted),,Enterprise Domain,
Data Management Interface Access,"Data Management Interface Access provides access interfaces to read and update stored data, individually or in bulk format. Access to data is controlled by authorization, compliance and privacy policies.
Interfaces for High performance, high security and high availability to dedicated data management applications.",1016,"Data Distribution Management
Data Store Management
DM Access & Transformation(Deleted)",,Enterprise Domain,Application Framework 21.0 Modification
Data Procedures and Practices Management,Data Procedures and Practices Management; The BI framework function for development and maintenance of the practices and procedures dealing with data.,910,BI Data Management(Deleted),,Enterprise Domain,
Data Storage Management,"Data Storage Management function manage the data storing applications to allow preventive and corrective maintenance, performance control and configuration needed for use of the data store functions. All management events are logged for auditing purposes.",1010,Data Store Management,,Enterprise Domain,Application Framework 21.0 Modification
Data Store Content Structure Configuration,Data Store Content Structure Configuration manages the data store structures including meta modeling and lifecycle management to make it ready for future use. All management events are logged for auditing purposes.,1011,Data Store Management,,Enterprise Domain,Application Framework 21.0 Modification
Data Transformation,Data Transformation function provides transformation functions to transform data according to standard or configured transformation algorithms (e.g. number to alphanumeric) internally or requesting transformation externally. This includes encryption/decryption and logging according to compliance guidelines.,1022,"Data Transformation and Formatting
DM Access & Transformation(Deleted)",,Enterprise Domain,Application Framework 21.0 Modification
Debt Management Financial Scoring,"Debt Management Financial Scoring; The Debt Management function:
•Update financial scoring: update of the customer scoring information, based on events that are significant of payer behavior of the customer (e.g. late payment, delays, etc.)",145,Collection Policy Execution and Monitoring,Billing & Revenue Management,Customer Domain,
Debt Management Penalty Automatic Charging,"Debt Management Penalty Automatic Charging 
automatically charges the automatically and manually generated penalty charges (dunning charges, payment rejection fees) linked to dunning of the due amount, in order to bill the customer according to the details of his / her contract.",146,Collection Policy Execution and Monitoring,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Deposit Management,"Deposit Management manages amounts held as a guarantee of payment.  Interest may be accumulated on this deposit amount.  If payment is not made in a timely manner, a portion of this deposit may be applied to the outstanding balance.  Based on business policy, deposits may be refunded with applicable interest after some period of time.  Deposit Management maintains and executes on these policies.",33,A/R Management,Billing & Revenue Management,Customer Domain,
Design Automation,"Design Automation; Provides design automation Applying algorithmic and heuristic analysis of the network in order, for example, to determine the optimum topology of a green field national, where geography and population distribution need to be taken into account.",443,Planning Design Automation,Lifecycle Management,Resource Domain,
Direct Sales Force Management,Direct Sales Force Management; A direct sales administrative function that can define and structure sales territories to assist structuring of the CSP’s sales organization and forecasting.,373,Direct Sales Force,Fulfillment,Market Sales Domain,
Discount Calculation,"Discount Calculation; Discounts Calculation determines charge discounts based on pricing plan; including discounts on recurring, one time, and usage charges. 
Discounts may be applied at different levels such as cross product, cross location, or cross customer (all customers that are part of a given group plan – some affiliation). The discounts can be apportioned across multiple events.",300,Discounts Calculation,Billing & Revenue Management,Customer Domain,
Discounting Rules Retrieval,Discounting Rules Retrieval function supports that discounting rules and guidelines are provided as to standard levels of discounts/promotions  that can be provided to the customer. Special discount arrangements can be obtained by following an escalation process. There is workflow functionality to help manage discount escalation.,932,Solution Pricing,Fulfillment,Market Sales Domain,Application Framework 21.0 Modification
Dispute Progress Tracking,Dispute Progress Tracking tracks open disputes that are entered into the dispute management system by an audit function that keeps track of its progress until it’s closed.,303,Dispute Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Disputed Charge Approved Adjustment,Disputed Charge Approved Adjustment provides an agreed-upon dispute adjustment after approval.,304,Dispute Management,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Dunning and Dunning Event Management,"Dunning and Dunning Event Management provides management of the dunning process pertaining to a dossier and the automatic or manual chaining of actions, as issuing a SMS, a letter, an outbound call, a barring action or delay fees.",150,Collection Policy Execution and Monitoring,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Dunning Strategy Initialization,"Dunning Strategy Initialization provides implementation of the company’s dunning strategy within its information system. A payment schedule is assigned according to a variety of customer criteria, such as customer type, payment means, payment behavior, etc.",149,Collection Policy Execution and Monitoring,Billing & Revenue Management,Customer Domain,Application Framework 21.0 Modification
Duplicate Reimbursement Detection,Duplicate Reimbursement Detection function for Detection of duplicate expenses,831,Employee Expense Reimbursement,,Enterprise Domain,Application Framework 21.0 Modification
Dynamic Work Order Assigning,"Dynamic Work Order Assigning are taking into consideration the following criteria: 
o work order priority 
o associated SLAs 
o work order due date 
o required skills to perform work 
o dependencies between work items/orders  
o job location relative to other assignments made to the dispatchable staff 
o workload of staff 
o staff availability hours",542,Work Order Assignment & Dispatch,Readiness & Operations Support,Resource Domain,Application Framework 21.0 Modification
